Samples,Caffeine,CuSO4,DTT,EtOH10,EtOH9,EtOH8,Malt_Ext,Fructose,G418,Galactose,Glicerol,Glucose,H2O2,KCl,Lactose,Methanol,Maltodextrine,Maltose,NaCl,p-coumeric acid,Rafinose,Sacarose,SDS,Sorbitol
CL210.1,0.13429282,0.096808135,0.225322043,0.195732765,0.13429282,0.162918841,0.06755052,0.269403143,0.13908529,0.179514373,0.044407194,0.245298238,0.226693907,0.24605945,0.065169436,0.226693907,0.046472992,0.171220917,0.179598524,0.280072022,0.188694639,0.248219327,0.211842471,0.134030301
CL211.3,0.14102536,0.10363768,0.225396092,0.180309138,0.14102536,0.149359891,0.060205986,0.276003021,0.15368423,0.184282352,0.045457022,0.247385117,0.225829332,0.24636184,0.037591947,0.225829332,0.047249908,0.178259201,0.206949431,0.278564928,0.205926916,0.249255326,0.210059718,0.135245756
CL215.1,0.149392717,0.091289562,0.224577789,0.187085579,0.149392717,0.158427945,0.068855717,0.2703082,0.163602677,0.193013147,0.044688226,0.245857641,0.104827205,0.245185185,0.039241007,0.104827205,0.044455898,0.178733045,0.197395546,0.28022561,0.1992083,0.248603352,0.212242851,0.146598362
CL216.1,0.138090992,0.101690373,0.212031046,0.174928899,0.138090992,0.139446234,0.067906742,0.264433087,0.154372956,0.185258573,0.091380471,0.249206426,0.210977233,0.230611253,0.045278392,0.210977233,0.055043222,0.174644392,0.192281416,0.279206814,0.191935133,0.242181725,0.198129917,0.137463155
CL218.1,0.133397459,0.092252936,0.230591543,0.171102964,0.133397459,0.162596254,0.077625963,0.270604895,0.163358045,0.180161067,0.043905325,0.242281925,0.191151811,0.241008355,0.039367976,0.191151811,0.050613101,0.169497988,0.197419081,0.263573554,0.199330871,0.245221806,0.212304405,0.142783657
CL220.3,0.130484661,0.102522522,0.203251552,0.177005724,0.130484661,0.163315332,0.060019971,0.258371581,0.144716294,0.173319697,0.048435782,0.230260365,0.182545712,0.18732127,0.051480677,0.182545712,0.049487456,0.16464853,0.188061655,0.267234181,0.192866739,0.239390611,0.196002122,0.125143186
CL221.1,0.110542015,0.095584086,0.225242622,0.198194444,0.110542015,0.175658733,0.061357563,0.26423098,0.16938716,0.202588802,0.067980744,0.25650395,0.096667635,0.242223616,0.04417844,0.096667635,0.056801128,0.167017077,0.214317584,0.278901471,0.195295779,0.250414626,0.206569486,0.129892498
CL701.1,0.093497825,0.130285047,0.205313817,0.205337467,0.093497825,0.165153274,0.071057141,0.265103819,0.151857094,0.167954191,0.059237597,0.202469232,0.210471707,0.23530647,0.057772405,0.210471707,0.067899842,0.159498878,0.212868542,0.261750541,0.202368395,0.250161356,0.186233403,0.131306675
CL702.1,0.120479874,0.111452899,0.239287717,0.210874324,0.120479874,0.147564534,0.068453391,0.270835585,0.184365691,0.169983945,0.062547066,0.244224663,0.206263075,0.245126947,0.052157943,0.206263075,0.058384963,0.171822511,0.22696594,0.268952044,0.208948921,0.249549297,0.218920565,0.143410497
CL703.2,0.138037317,0.1007106,0.244327634,0.189120545,0.138037317,0.168595062,0.069768292,0.270850094,0.161648865,0.187044013,0.06118073,0.254922953,0.206028611,0.248180495,0.045209784,0.206028611,0.064798545,0.180846199,0.220868939,0.271390207,0.210666348,0.257075737,0.219185285,0.146941253
CL704.2,0.142735376,0.100647356,0.241605353,0.184280949,0.142735376,0.16194119,0.072273759,0.268225995,0.164416766,0.18306112,0.048792346,0.246859494,0.2258897,0.237052172,0.053104156,0.2258897,0.066292263,0.178204281,0.213803537,0.263872545,0.209018161,0.251630039,0.221424398,0.147340574
CL705.1,0.128176295,0.096904593,0.217973075,0.192526968,0.128176295,0.151665828,0.070109381,0.26480612,0.152930622,0.164086094,0.053375018,0.237146167,0.19708561,0.161701091,0.042133284,0.19708561,0.062168813,0.159908417,0.208143268,0.260235243,0.196036875,0.26097386,0.206649154,0.148650801
CL706.2,0.136452111,0.102595099,0.230551125,0.193273356,0.136452111,0.162766348,0.067206808,0.251484412,0.168369943,0.170192901,0.081247535,0.2220475,0.19796778,0.231927999,0.06177092,0.19796778,0.050571293,0.163289241,0.208461291,0.268012581,0.202868585,0.251831226,0.212656636,0.148281843
CL711.2,0.128462919,0.096316984,0.203022619,0.177296543,0.128462919,0.142360182,0.063343297,0.249992879,0.148932357,0.146937591,0.033932942,0.144282596,0.208422138,0.197344111,0.067742968,0.208422138,0.055844122,0.14532029,0.174052169,0.195834555,0.160113148,0.24275716,0.19623329,0.149922713
W34/70,0.177955665,0.086176875,0.157642678,0.131490049,0.177955665,0.088801097,0.050288997,0.190152862,0.086612189,0.137493612,0.038524884,0.166920243,0.165064441,0.160948763,0.066938776,0.165064441,0.06279735,0.109414904,0.127922701,0.149906023,0.126395385,0.178930691,0.140926302,0.101735843
